UID_01,BIOCHEMICAL,NCI_NAME,BROAD_NAME,FENLAND_METABOLON_NAME,FENLAND_BIOCRATES_NAME,ARIC_NAME1,ARIC_NAME2,UCLEB_NMR_NAME,SHANGHAI_CHD_NAME,HMDB_ID,HMDB_ID1,HMDB_ID2,CHEMICAL_ID,COMP_ID,PUBCHEM,CHEMSPIDER,CHEBI,INCHI,INCHIKEY,CAS,KEGG,SUPER_PATHWAY,SUB_PATHWAY,FLAG
CHEM100003472,"(15:2)-anacardic acid or 2-hydroxy-6-[(8Z,11Z)-pentadeca-8,11-dien-1-yl]benzoic acid",_15_2__anacardic_acid (benzoic_acid__2_hydroxy_6___8),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100003472,41397,11824131,NA,NA,NA,NA,11034-77-8,NA,XENOBIOTICS,FOOD COMPONENT/PLANT,NA
CSID24822532,"(2R)-2,3-Bis[(6E)-6-octadecenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,PC aa C36:2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822532,NA,"InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h26-29,42H,6-25,30-41H2,1-5H3/b28-26+,29-27+/t42-/m1/s1",KLJBLQFSKZACGJ-MXKZWCJFSA-N,NA,NA,NA,NA,NA
CSID24822404,"(2R)-2,3-Bis[(9E)-9-hexadecenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,PC aa C32:2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822404,NA,"InChI=1S/C40H76NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-39(42)46-36-38(37-48-50(44,45)47-35-34-41(3,4)5)49-40(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h16-19,38H,6-15,20-37H2,1-5H3/b18-16+,19-17+/t38-/m1/s1",GPWHCUUIQMGELX-SGZUMCNSSA-N,NA,NA,NA,NA,NA
CSID24822650,"(2R)-2,3-Bis[(9E)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,PC aa C40:2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822650,NA,"InChI=1S/C48H92NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-38-40-47(50)54-44-46(45-56-58(52,53)55-43-42-49(3,4)5)57-48(51)41-39-37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h24-27,46H,6-23,28-45H2,1-5H3/b26-24+,27-25+/t46-/m1/s1",BCEBUGJWWZQUNZ-UHRNCNTMSA-N,NA,NA,NA,NA,NA
CSID24822327,(2R)-2-(Henicosanoyloxy)-3-(pentadecanoyloxy)propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC aa C36:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822327,NA,"InChI=1S/C44H88NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-19-17-15-13-11-9-7-2/h42H,6-41H2,1-5H3/t42-/m1/s1",VWLICNQRTMDGNI-HUESYALOSA-N,NA,NA,NA,NA,NA
CSID24822578,"(2R)-2-[(13Z)-13-Icosenoyloxy]-3-[(9Z,12Z)-9,12-octadecadienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,PC aa C38:3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822578,NA,"InChI=1S/C46H86NO8P/c1-6-8-10-12-14-16-18-20-22-23-25-27-29-31-33-35-37-39-46(49)55-44(43-54-56(50,51)53-41-40-47(3,4)5)42-52-45(48)38-36-34-32-30-28-26-24-21-19-17-15-13-11-9-7-2/h15-18,21,24,44H,6-14,19-20,22-23,25-43H2,1-5H3/b17-15-,18-16-,24-21-/t44-/m1/s1",VQHXLFJRJYRJKV-IIRKCDRKSA-N,NA,NA,NA,NA,NA
CSID24822448,"(2R)-2-[(2E,4E)-2,4-Hexadecadienoyloxy]-3-(stearoyloxy)propyl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,PC aa C34:2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822448,NA,"InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-24-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43(3,4)5)51-42(45)35-33-31-29-27-25-22-19-17-15-13-11-9-7-2/h29,31,33,35,40H,6-28,30,32,34,36-39H2,1-5H3/b31-29+,35-33+/t40-/m1/s1",KFEAIZLCQYTLRR-ONIHBDGASA-N,NA,NA,NA,NA,NA
CSID24822871,"(2R)-2-[(7Z,10Z,13Z,16Z,19Z)-7,10,13,16,19-Docosapentaenoyloxy]-3-(hexadecyloxy)propyl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,PC ae C38:5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822871,NA,"InChI=1S/C46H84NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-26-27-29-31-33-35-37-39-46(48)54-45(44-53-55(49,50)52-42-40-47(3,4)5)43-51-41-38-36-34-32-30-28-21-19-17-15-13-11-9-7-2/h8,10,14,16,20,22,24-25,27,29,45H,6-7,9,11-13,15,17-19,21,23,26,28,30-44H2,1-5H3/b10-8-,16-14-,22-20-,25-24-,29-27-/t45-/m1/s1",VGMPOLIXNOOTMT-HEYUSFSCSA-N,NA,NA,NA,NA,NA
CSID24822488,"(2R)-2-[(8Z,10Z,12Z,14Z)-8,10,12,14-Icosatetraenoyloxy]-3-(stearoyloxy)propyl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,PC aa C38:4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822488,NA,"InChI=1S/C46H84NO8P/c1-6-8-10-12-14-16-18-20-22-23-25-27-29-31-33-35-37-39-46(49)55-44(43-54-56(50,51)53-41-40-47(3,4)5)42-52-45(48)38-36-34-32-30-28-26-24-21-19-17-15-13-11-9-7-2/h14,16,18,20,22-23,25,27,44H,6-13,15,17,19,21,24,26,28-43H2,1-5H3/b16-14-,20-18-,23-22-,27-25-/t44-/m1/s1",ISIMLRCPRMOPDS-LBYIXAPGSA-N,NA,NA,NA,NA,NA
CSID24822459,(2R)-2-[(9E)-9-Octadecenoyloxy]-3-(stearoyloxy)propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC aa C36:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822459,NA,"InChI=1S/C44H86NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h21,23,42H,6-20,22,24-41H2,1-5H3/b23-21+/t42-/m1/s1",ATHVAWFAEPLPPQ-QPOMNCEOSA-N,NA,NA,NA,NA,NA
CSID24822888,(2R)-2-[(9Z)-9-Hexadecenoyloxy]-3-(octadecyloxy)propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC ae C34:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822888,NA,"InChI=1S/C42H84NO7P/c1-6-8-10-12-14-16-18-20-21-22-24-26-28-30-32-34-37-47-39-41(40-49-51(45,46)48-38-36-43(3,4)5)50-42(44)35-33-31-29-27-25-23-19-17-15-13-11-9-7-2/h17,19,41H,6-16,18,20-40H2,1-5H3/b19-17-/t41-/m1/s1",WFFMOIADEZZLFU-HVLKLTLRSA-N,NA,NA,NA,NA,NA
CSID24822895,(2R)-2-[(9Z)-9-Icosenoyloxy]-3-(octadecyloxy)propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC ae C38:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822895,NA,"InChI=1S/C46H92NO7P/c1-6-8-10-12-14-16-18-20-22-24-25-27-29-31-33-35-37-39-46(48)54-45(44-53-55(49,50)52-42-40-47(3,4)5)43-51-41-38-36-34-32-30-28-26-23-21-19-17-15-13-11-9-7-2/h24-25,45H,6-23,26-44H2,1-5H3/b25-24-/t45-/m1/s1",DBNUPYDJSILSJX-VABJTFOOSA-N,NA,NA,NA,NA,NA
CSID24822840,(2R)-2-[(9Z)-9-Octadecenoyloxy]-3-(tetradecyloxy)propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC ae C32:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822840,NA,"InChI=1S/C40H80NO7P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-40(42)48-39(38-47-49(43,44)46-36-34-41(3,4)5)37-45-35-32-30-28-26-24-19-17-15-13-11-9-7-2/h20-21,39H,6-19,22-38H2,1-5H3/b21-20-/t39-/m1/s1",KKCGBTJTPQETOY-KUNNKMQBSA-N,NA,NA,NA,NA,NA
CSID24822939,(2R)-2-[(9Z)-9-Octadecenoyloxy]-3-[(1Z)-1-tetradecen-1-yloxy]propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC ae C32:2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822939,NA,"InChI=1S/C40H78NO7P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-40(42)48-39(38-47-49(43,44)46-36-34-41(3,4)5)37-45-35-32-30-28-26-24-19-17-15-13-11-9-7-2/h20-21,32,35,39H,6-19,22-31,33-34,36-38H2,1-5H3/b21-20-,35-32-/t39-/m1/s1",CDELFBJJHZJURR-JDTLOSAXSA-N,NA,NA,NA,NA,NA
CSID24822213,(2R)-3-(Decanoyloxy)-2-(icosanoyloxy)propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC aa C30:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822213,NA,"InChI=1S/C38H76NO8P/c1-6-8-10-12-14-15-16-17-18-19-20-21-22-23-25-27-29-31-38(41)47-36(35-46-48(42,43)45-33-32-39(3,4)5)34-44-37(40)30-28-26-24-13-11-9-7-2/h36H,6-35H2,1-5H3/t36-/m1/s1",SVIWSHKAEXRJFD-PSXMRANNSA-N,NA,NA,NA,NA,NA
CSID24822210,(2R)-3-(Decanoyloxy)-2-[(9Z)-9-octadecenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC aa C28:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822210,NA,"InChI=1S/C36H70NO8P/c1-6-8-10-12-14-15-16-17-18-19-20-21-23-25-27-29-36(39)45-34(33-44-46(40,41)43-31-30-37(3,4)5)32-42-35(38)28-26-24-22-13-11-9-7-2/h17-18,34H,6-16,19-33H2,1-5H3/b18-17-/t34-/m1/s1",LHGRLARXULFYPW-RZCWWDNZSA-N,NA,NA,NA,NA,NA
CSID24822437,(2R)-3-(Heptadecanoyloxy)-2-(nonanoyloxy)propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC aa C26:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822437,NA,"InChI=1S/C34H68NO8P/c1-6-8-10-12-14-15-16-17-18-19-20-21-23-24-26-33(36)40-30-32(43-34(37)27-25-22-13-11-9-7-2)31-42-44(38,39)41-29-28-35(3,4)5/h32H,6-31H2,1-5H3/t32-/m1/s1",YGSFEJUVADRURR-JGCGQSQUSA-N,NA,NA,NA,NA,NA
CSID24822417,(2R)-3-(Heptadecanoyloxy)-2-(pentadecanoyloxy)propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC aa C32:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822417,NA,"InChI=1S/C40H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-24-26-28-30-32-39(42)46-36-38(37-48-50(44,45)47-35-34-41(3,4)5)49-40(43)33-31-29-27-25-22-19-17-15-13-11-9-7-2/h38H,6-37H2,1-5H3/t38-/m1/s1",LOLPCAJPUJWKHZ-KXQOOQHDSA-N,NA,NA,NA,NA,NA
CSID4947173,"(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,PC ae C36:4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4947173,NA,"InChI=1S/C44H82NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h14,16,20,22,24-25,29,31,43H,6-13,15,17-19,21,23,26-28,30,32-42H2,1-5H3/b16-14-,22-20-,25-24-,31-29-/t43-/m1/s1",DUUSFCFZBREELS-WWBBCYQPSA-N,NA,NA,NA,NA,NA
CSID8660716,"(2R)-3-(Hexadecyloxy)-2-[(5Z,8Z,11Z,14Z,17Z)-5,8,11,14,17-icosapentaenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,PC ae C36:5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8660716,NA,"InChI=1S/C44H80NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h8,10,14,16,20,22,24-25,29,31,43H,6-7,9,11-13,15,17-19,21,23,26-28,30,32-42H2,1-5H3/b10-8-,16-14-,22-20-,25-24-,31-29-/t43-/m1/s1",YHSSHPWVFALMBA-IARQOZKNSA-N,NA,NA,NA,NA,NA
CSID24958570,"(2R)-3-(Hexadecyloxy)-2-[(8Z,11Z,14Z)-8,11,14-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,PC ae C36:3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24958570,NA,"InChI=1S/C44H84NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h14,16,20,22,24-25,43H,6-13,15,17-19,21,23,26-42H2,1-5H3/b16-14-,22-20-,25-24-/t43-/m1/s1",VYKSGWCIVDQIQR-MEAIPJDCSA-N,NA,NA,NA,NA,NA
CSID24822863,(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC ae C36:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822863,NA,"InChI=1S/C44H88NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h23-24,43H,6-22,25-42H2,1-5H3/b24-23-/t43-/m1/s1",KDJNGPJWWLDTBH-IJPQMANRSA-N,NA,NA,NA,NA,NA
